,voc_2007,voc_2007,voc_2007,voc_2007,coco,coco,coco,coco
,vgg16,vgg16,resnet50,resnet50,vgg16,vgg16,resnet50,resnet50
center,69.6,42.4,69.6,42.4,27.8,19.5,27.8,19.5
gradient,76.3,56.9,72.3,56.8,37.7,31.4,35.0,29.4
deconvnet,67.5,44.2,68.6,44.7,30.7,23.0,30.0,21.9
guided_backprop,75.9,53.0,77.2,59.4,39.1,31.4,42.1,35.3
excitation_backprop,77.1,56.6,84.5,70.8,39.8,32.8,49.6,43.9
contrastive_excitation_backprop,79.9,66.5,90.7,82.1,49.7,44.3,58.5,53.6
rise,86.9,75.1,86.4,78.8,50.8,45.3,54.7,50.0
grad_cam,86.6,74.0,90.4,82.3,54.2,49.0,57.3,52.3
extremal_perturbation,88.0,76.1,88.9,78.7,51.5,45.9,56.5,51.5